sample	group	lib.size	norm.factors
TCGA-X4-A8KQ-01	T	23884082.07	1
TCGA-X4-A8KS-01	T	24379537.03	1
TCGA-XA-A8JR-01	T	38420248.79	1
TCGA-XJ-A83F-01	T	34635417.42	1
TCGA-XJ-A83G-01	T	30855071.53	1
TCGA-XJ-A83H-01	T	31370397.87	1
TCGA-XJ-A9DI-01	T	36415613.76	1
TCGA-XJ-A9DK-01	T	39703942.68	1
TCGA-XJ-A9DQ-01	T	46525701.92	1
TCGA-XJ-A9DX-01	T	39077289.11	1
TCGA-XK-AAIR-01	T	45570312.91	1
TCGA-XK-AAIV-01	T	26298347.94	1
TCGA-XK-AAIW-01	T	55583453.31	1
TCGA-XK-AAJ3-01	T	41518696.81	1
TCGA-XK-AAJA-01	T	61731703.38	1
TCGA-XK-AAJP-01	T	56994805.26	1
TCGA-XK-AAJR-01	T	68792378.94	1
TCGA-XK-AAJT-01	T	20552071.44	1
TCGA-XK-AAJU-01	T	37688705.86	1
TCGA-XK-AAK1-01	T	22926675.45	1
TCGA-XQ-A8TA-01	T	44241600.36	1
TCGA-XQ-A8TB-01	T	41776435.26	1
TCGA-Y6-A8TL-01	T	32978181.89	1
TCGA-Y6-A9XI-01	T	39790331.11	1
TCGA-YJ-A8SW-01	T	54369208.58	1
TCGA-YL-A8HJ-01	T	44659049.48	1
TCGA-YL-A8HK-01	T	47454424.29	1
TCGA-YL-A8HL-01	T	45287053.71	1
TCGA-YL-A8HM-01	T	46902536.85	1
TCGA-YL-A8HO-01	T	33588472.82	1
TCGA-YL-A8S8-01	T	42943930.94	1
TCGA-YL-A8S9-01	T	44361045.94	1
TCGA-YL-A8SA-01	T	37369496.44	1
TCGA-YL-A8SB-01	T	43170072.56	1
TCGA-YL-A8SC-01	T	53170015.25	1
TCGA-YL-A8SF-01	T	43529087.81	1
TCGA-YL-A8SH-01	T	36840617.89	1
TCGA-YL-A8SI-01	T	39523381.56	1
TCGA-YL-A8SJ-01	T	33690110.2	1
TCGA-YL-A8SK-01	T	42028425.83	1
TCGA-YL-A8SL-01	T	40623918.75	1
TCGA-YL-A8SO-01	T	38398454.75	1
TCGA-YL-A8SP-01	T	48349086.49	1
TCGA-YL-A8SQ-01	T	34435409.53	1
TCGA-YL-A8SR-01	T	43405657.7	1
TCGA-YL-A9WH-01	T	46795028.13	1
TCGA-YL-A9WI-01	T	39167461.38	1
TCGA-YL-A9WJ-01	T	49677011.71	1
TCGA-YL-A9WK-01	T	44401515.16	1
TCGA-YL-A9WL-01	T	64638000.11	1
TCGA-YL-A9WX-01	T	63971518.34	1
TCGA-YL-A9WY-01	T	56493692.67	1
TCGA-ZG-A8QW-01	T	30642839.38	1
TCGA-ZG-A8QX-01	T	49000632.29	1
TCGA-ZG-A8QY-01	T	46364417.46	1
TCGA-ZG-A8QZ-01	T	47374002.12	1
TCGA-ZG-A9KY-01	T	60403289.79	1
TCGA-ZG-A9L0-01	T	38388790.63	1
TCGA-ZG-A9L1-01	T	27647502.47	1
TCGA-ZG-A9L2-01	T	49686615.19	1
TCGA-ZG-A9L4-01	T	52491386.08	1
TCGA-ZG-A9L5-01	T	71748181.87	1
TCGA-ZG-A9L6-01	T	38837165.3	1
TCGA-ZG-A9L9-01	T	36227134.01	1
TCGA-ZG-A9LB-01	T	27127087.35	1
TCGA-ZG-A9LM-01	T	41565640.69	1
TCGA-ZG-A9LN-01	T	41834552.13	1
TCGA-ZG-A9LS-01	T	23458156.18	1
TCGA-ZG-A9LU-01	T	20114738.3	1
TCGA-ZG-A9LY-01	T	45269021.55	1
TCGA-ZG-A9LZ-01	T	52060127.23	1
TCGA-ZG-A9M4-01	T	42188930.68	1
TCGA-ZG-A9MC-01	T	36430407.91	1
TCGA-ZG-A9N3-01	T	17914556.42	1
TCGA-ZG-A9ND-01	T	28426963.73	1
TCGA-ZG-A9NI-01	T	26990873.02	1
			
sample reads average		47232412	
